PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Sex_male,Embarked_Q,Embarked_S
1,0,3,"Braund, Mr. Owen Harris",-0.5657364610748746,0.4327933656785018,-0.4736736092984604,A/5 21171,-0.5024451714361923,True,False,True
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0.6638610320657843,0.4327933656785018,-0.4736736092984604,PC 17599,0.7868452935884461,False,False,False
3,1,3,"Heikkinen, Miss. Laina",-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,STON/O2. 3101282,-0.4888542575852486,False,False,True
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0.4333115021019107,0.4327933656785018,-0.4736736092984604,113803,0.4207302360686478,False,False,True
5,0,3,"Allen, Mr. William Henry",0.4333115021019107,-0.47454519624983954,-0.4736736092984604,373450,-0.4863374216869257,True,False,True
6,0,3,"Moran, Mr. James",-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,330877,-0.47811642890864375,True,True,False
7,0,1,"McCarthy, Mr. Timothy J",1.893458525206443,-0.47454519624983954,-0.4736736092984604,17463,0.395813560675251,True,False,True
8,0,3,"Palsson, Master. Gosta Leonard",-2.1027333275006983,2.2474704895351842,0.7676298785983874,349909,-0.22408312108167944,True,False,True
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",-0.1814872444684187,-0.47454519624983954,2.0089333664952354,347742,-0.4242561406845337,False,False,True
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",-1.180535207645204,0.4327933656785018,-0.4736736092984604,237736,-0.04295550208861426,False,False,False
11,1,3,"Sandstrom, Miss. Marguerite Rut",-1.949033640858116,0.4327933656785018,0.7676298785983874,PP 9549,-0.312172377522981,False,False,True
12,1,1,"Bonnell, Miss. Elizabeth",2.200857898491608,-0.47454519624983954,-0.4736736092984604,113783,-0.11384570873513637,False,False,True
13,0,3,"Saundercock, Mr. William Henry",-0.719436147717457,-0.47454519624983954,-0.4736736092984604,A/5. 2151,-0.4863374216869257,True,False,True
14,0,3,"Andersson, Mr. Anders Johan",0.7407108753870755,0.4327933656785018,5.73284383018578,347082,-0.01870931177853076,True,False,True
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",-1.180535207645204,-0.47454519624983954,-0.4736736092984604,350406,-0.4902797934380587,False,False,True
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1.9703083685277343,-0.47454519624983954,-0.4736736092984604,248706,-0.3262666585535892,False,False,True
17,0,3,"Rice, Master. Eugene",-2.1027333275006983,3.1548090514635256,0.7676298785983874,382652,-0.06199888922968463,True,True,False
18,1,2,"Williams, Mr. Charles Eugene",-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,244373,-0.3866707201133388,True,False,True
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0.12591212881674602,0.4327933656785018,-0.4736736092984604,345763,-0.2859972841804228,False,False,True
20,1,3,"Masselmani, Mrs. Fatima",-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,2649,-0.5029485386158568,False,False,False
21,0,2,"Fynney, Mr. Joseph J",0.4333115021019107,-0.47454519624983954,-0.4736736092984604,239865,-0.12491978668775715,True,False,True
22,1,2,"Beesley, Mr. Lawrence",0.35646165878061953,-0.47454519624983954,-0.4736736092984604,248698,-0.3866707201133388,True,False,True
23,1,3,"McGowan, Miss. Anna ""Annie""",-1.1036853643239128,-0.47454519624983954,-0.4736736092984604,330923,-0.4867562231804066,False,True,False
24,1,1,"Sloper, Mr. William Thompson",-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,113788,0.06635974158478332,True,False,True
25,0,3,"Palsson, Miss. Torborg Danira",-1.6416342675729512,2.2474704895351842,0.7676298785983874,349909,-0.22408312108167944,False,False,True
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0.6638610320657843,0.4327933656785018,5.73284383018578,347077,-0.016444159470040135,False,False,True
27,0,3,"Emir, Mr. Farred Chehab",-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,2631,-0.5029485386158568,True,False,False
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,330959,-0.48977642625839407,False,True,False
30,0,3,"Todoroff, Mr. Lalio",-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,349216,-0.4894421904510968,True,False,True
31,0,1,"Uruchurtu, Don. Manuel E",0.8175607187083667,-0.47454519624983954,-0.4736736092984604,PC 17601,-0.09027201697708476,True,False,False
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",-0.10463740114712752,0.4327933656785018,-0.4736736092984604,PC 17569,2.301728820789,False,False,False
33,1,3,"Glynn, Miss. Mary Agatha",-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,335677,-0.49237782784290063,False,True,False
34,0,2,"Wheadon, Mr. Edward H",2.8156566450619374,-0.47454519624983954,-0.4736736092984604,C.A. 24579,-0.43700743807979686,True,False,True
35,0,1,"Meyer, Mr. Edgar Joseph",-0.10463740114712752,0.4327933656785018,-0.4736736092984604,PC 17604,1.0060617003323709,True,False,False
36,0,1,"Holverson, Mr. Alexander Oskar",0.9712604053509489,0.4327933656785018,-0.4736736092984604,113789,0.39858208016340624,True,False,True
37,1,3,"Mamee, Mr. Hanna",-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,2677,-0.5028639729296732,True,False,False
38,0,3,"Cann, Mr. Ernest Charles",-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,A./5. 2152,-0.4863374216869257,True,False,True
39,0,3,"Vander Planke, Miss. Augusta Maria",-0.8731358343600393,1.340131927606843,-0.4736736092984604,345764,-0.2859972841804228,False,False,True
